,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16264,Rep. of Ireland,Denmark,0,0,13 Oct 2018,"2018-19 UEFA Nations League, Group B4"
0,16263,Bulgaria,Cyprus,2,1,13 Oct 2018,"2018-19 UEFA Nations League, Group C3"
0,16262,Macedonia,Liechtenstein,4,1,13 Oct 2018,"2018-19 UEFA Nations League, Group D4"
0,16261,Latvia,Kazakhstan,1,1,13 Oct 2018,"2018-19 UEFA Nations League, Group D1"
0,16260,Norway,Slovenia,1,0,13 Oct 2018,"2018-19 UEFA Nations League, Group C3"
0,16259,Georgia,Andorra,3,0,13 Oct 2018,"2018-19 UEFA Nations League, Group D1"
0,16258,Armenia,Gibraltar,0,1,13 Oct 2018,"2018-19 UEFA Nations League, Group D4"
0,16257,Slovakia,Czech Republic,1,2,13 Oct 2018,"2018-19 UEFA Nations League, Group B1"
0,16256,Belgium,Switzerland,2,1,12 Oct 2018,"2018-19 UEFA Nations League, Group A2"
0,16255,Croatia,England,0,0,12 Oct 2018,"2018-19 UEFA Nations League, Group A4"
0,16254,Austria,Northern Ireland,1,0,12 Oct 2018,"2018-19 UEFA Nations League, Group B3"
0,16253,Greece,Hungary,1,0,12 Oct 2018,"2018-19 UEFA Nations League, Group C2"
0,16252,Estonia,Finland,0,1,12 Oct 2018,"2018-19 UEFA Nations League, Group C2"
0,16251,Belarus,Luxembourg,1,0,12 Oct 2018,"2018-19 UEFA Nations League, Group D2"
0,16250,Moldova,San Marino,2,0,12 Oct 2018,"2018-19 UEFA Nations League, Group D2"
0,16249,Russia,Sweden,0,0,11 Oct 2018,"2018-19 UEFA Nations League, Group B2"
0,16248,France,Iceland,2,2,11 Oct 2018,Friendly International
0,16247,Poland,Portugal,2,3,11 Oct 2018,"2018-19 UEFA Nations League, Group A3"
0,16246,Lithuania,Romania,1,2,11 Oct 2018,"2018-19 UEFA Nations League, Group C4"
0,16245,Montenegro,Serbia,0,2,11 Oct 2018,"2018-19 UEFA Nations League, Group C4"
