"","country","b0","b1","b0std","b1std"
"1","Albania",-6.0336954439902,5.33695933017875,0.934037588450578,0.870241783400227
"2","Andorra",-8.71325305500166,7.91180399232456,1.19957053792303,1.43866173694289
"3","Armenia",-5.99566252101548,5.39301072903142,1.21797168232061,1.1730107701473
"4","Austria",-6.17542452068247,5.83080783685895,1.34768676107824,1.17647814294107
"5","Azerbaijan",-5.76236942694332,5.33608110390604,1.24199160781468,1.35874055399443
"6","Belarus",-7.60725776290903,7.31780780019225,1.12589226993773,1.12215655714696
"7","Belgium",-6.1654946833868,6.03720236394181,1.3358236583091,1.04670080215404
"8","Bulgaria",-7.46904549460832,7.29986927973025,1.24359818226172,1.26646186917609
"9","Croatia",-6.40066883472977,6.26160129678582,1.18267530579674,1.02709028244363
"10","Cyprus",-7.19327477873298,7.15859950725113,1.12413452459134,1.19638749618551
"11","Czech Republic",-7.48270297834743,7.70710113943023,1.12187633452222,1.01390916163518
"12","Denmark",-7.07584959195214,7.02283141559153,1.26222109620948,1.06696629713417
"13","England",-6.38702097723806,6.47076402210897,1.45517219143685,1.2466348850712
"14","Estonia",-8.02531944287953,7.76216697427458,1.19734479399563,1.30762088464406
"15","Faroe Islands",-9.14258795796607,7.90134424216412,1.07832012951554,1.11828990716058
"16","Finland",-5.89325298124359,5.75774764442382,0.941738597239959,0.85972008523355
"17","France",-2.51706407903907,3.00456707570053,1.18694976215305,0.956274268026288
"18","Georgia",-4.92422340516863,5.13847887238857,1.16627777752249,1.18940872868587
"19","Germany",-5.26613479687665,5.6292508196472,1.25049163352444,1.07586388729728
"20","Gibraltar",-10.7132633392594,11.0278964931738,1.54698778815524,2.01613880194467
"21","Greece",-4.70883820853098,4.39185595428719,0.803508152702551,0.715523667721036
"22","Hungary",-5.12732373466505,4.89567008152901,1.15684370938093,1.036749810135
"23","Iceland",-7.34915114518846,6.73035493865016,1.03613418886799,0.98328463979715
"24","Israel",-8.16524085824089,8.86361389568982,1.21560149108687,1.28140653480894
"25","Italy",-6.16363386508759,6.43667393906661,1.08327002585804,0.915023257259164
"26","Kazakhstan",-7.06909177342554,7.12650900837776,1.26793269997189,1.39051171682524
"27","Kosovo",-5.86803555286565,6.66783053065375,1.3162573990424,1.38973490614536
"28","Latvia",-5.57871311929314,5.93680946272286,1.26084954817307,1.41532552747497
"29","Liechtenstein",-7.67401586765048,7.71863684417832,1.40596718867998,1.88259835764848
"30","Lithuania",-4.72346772314341,4.24269319721796,1.20853923395381,1.43301947004514
"31","Luxembourg",-7.6334952083451,6.52609630934709,1.15379648296435,1.20041135327161
"32","Malta",-6.93914014069614,7.04616394508668,1.22911684916726,1.61959899473334
"33","Moldova",-7.62488744428799,8.52234176061765,1.0061287336328,1.33634963972451
"34","Montenegro",-9.01371339430847,8.32786959730657,1.85872362506837,1.75124316459302
"35","Netherlands",-4.98234632245385,5.8079305829261,1.09957844647196,0.958556475487818
"36","North Macedonia",-9.19410349530833,8.97939412776228,1.63601273313668,1.50397769674533
"37","Northern Ireland",-8.61165312199119,8.13652160827433,1.58958581774831,1.5762345583681
"38","Norway",-5.12856408882942,5.52193568986178,1.21321268710848,1.10703165551052
"39","Poland",-6.01574722699087,6.06420251220875,1.19487192764705,1.05953015875088
"40","Portugal",-7.1561491658907,7.23422362572748,1.32324784112924,1.11989889565916
"41","Romania",-6.88997094749262,7.10964394969208,1.07880070045101,1.00317492060067
"42","Russia",-7.04696209508347,7.18896278238346,1.12238931575106,1.05771821521307
"43","San Marino",-13.8839158857261,15.122340844191,1.62636986378035,2.48282413177755
"44","Scotland",-6.21595046550919,5.90911635902498,1.22039155357445,1.10226621437993
"45","Serbia",-6.32947770262119,6.14661058145883,1.87623267368372,1.72018301796798
"46","Slovakia",-4.6691365550222,4.75871050728731,1.30636708067833,1.19199970458744
"47","Slovenia",-6.31039176503123,6.2043125186755,1.08724804473169,1.02657491352071
"48","Spain",-3.93633479621692,4.69125835190043,1.19949340548256,1.01678333674172
"49","Sweden",-5.41803973666496,5.33226803746077,1.19792147307584,1.05834197152297
"50","Switzerland",-2.1287257276836,2.39937762648091,0.87224555372008,0.707317582925156
"51","Turkey",-2.96550649459238,3.039889014551,1.01699741684153,0.914382879561728
"52","Ukraine",-8.08266938904749,7.89507424120517,1.57596393304754,1.45295210995044
"53","Wales",-7.53258639502053,6.24437695954765,1.585857405792,1.41930406242802
"54","Yugoslavia",-4.39414601529532,10.2785956062604,0.00966579654512999,0.0187255393460585
