"","match_id","team1","team2","team1goals","team2goals","team1rank","team2rank","team1points","team2points","diff_goal_abs","diff_goal_ratio","diff_rank","diff_point_abs","diff_point_ratio"
"63",16954,"Sweden","Finland",2,0,13,30,1569,1410,2,Inf,17,159,1.11276595744681
"64",16954,"Finland","Sweden",0,2,30,13,1410,1569,-2,0,-17,-159,0.898661567877629
"65",16953,"Italy","San Marino",7,0,6,55,1642,804,7,Inf,49,838,2.04228855721393
"66",16953,"San Marino","Italy",0,7,55,6,804,1642,-7,0,-49,-838,0.489646772228989
"67",16952,"Turkey","Azerbaijan",2,1,18,43,1505,1168,1,2,25,337,1.28852739726027
"68",16952,"Azerbaijan","Turkey",1,2,43,18,1168,1505,-1,0.5,-25,-337,0.776079734219269
"69",16950,"Greece","Georgia",1,1,28,40,1418,1259,0,1,12,159,1.12629070691025
"70",16950,"Georgia","Greece",1,1,40,28,1259,1418,0,1,-12,-159,0.88787023977433
"71",16949,"Spain","Kosovo",3,1,5,46,1648,1151,2,3,41,497,1.43179843614248
"72",16949,"Kosovo","Spain",1,3,46,5,1151,1648,-2,0.333333333333333,-41,-497,0.698422330097087
"73",16948,"Northern Ireland","Bulgaria",0,0,27,36,1425,1339,0,NA,9,86,1.06422703510082
"74",16948,"Bulgaria","Northern Ireland",0,0,36,27,1339,1425,0,NA,-9,-86,0.939649122807018
"75",16947,"Scotland","Faroe Islands",4,0,25,44,1441,1165,4,Inf,19,276,1.23690987124464
"76",16947,"Faroe Islands","Scotland",0,4,44,25,1165,1441,-4,0,-19,-276,0.808466342817488
"77",16946,"Austria","Denmark",0,4,15,7,1523,1631,-4,0,-8,-108,0.933782955242183
"78",16946,"Denmark","Austria",4,0,7,15,1631,1523,4,Inf,8,108,1.07091267235719
"79",16945,"England","Poland",2,1,3,14,1686,1549,1,2,11,137,1.08844415752098
"80",16945,"Poland","England",1,2,14,3,1549,1686,-1,0.5,-11,-137,0.918742586002372
"81",16944,"Germany","North Macedonia",1,2,8,32,1609,1374,-1,0.5,24,235,1.17103347889374
"82",16944,"North Macedonia","Germany",2,1,32,8,1374,1609,1,2,-24,-235,0.853946550652579
"83",16943,"Lithuania","Italy",0,2,48,6,1102,1642,-2,0,-42,-540,0.671132764920828
"84",16943,"Italy","Lithuania",2,0,6,48,1642,1102,2,Inf,42,540,1.49001814882033
"85",16942,"Ukraine","Kazakhstan",1,1,16,47,1514,1147,0,1,31,367,1.31996512641674
"86",16942,"Kazakhstan","Ukraine",1,1,47,16,1147,1514,0,1,-31,-367,0.757595772787318
"87",16940,"Moldova","Israel",1,4,52,37,948,1283,-3,0.25,-15,-335,0.738893219017927
"88",16940,"Israel","Moldova",4,1,37,52,1283,948,3,4,15,335,1.35337552742616
"89",16939,"Andorra","Hungary",1,4,50,20,1034,1468,-3,0.25,-30,-434,0.704359673024523
"90",16939,"Hungary","Andorra",4,1,20,50,1468,1034,3,4,30,434,1.41972920696325
"91",16938,"San Marino","Albania",0,2,55,35,804,1362,-2,0,-20,-558,0.590308370044053
"92",16938,"Albania","San Marino",2,0,35,55,1362,804,2,Inf,20,558,1.69402985074627
"93",16937,"Liechtenstein","Iceland",1,4,53,29,911,1415,-3,0.25,-24,-504,0.643816254416961
"94",16937,"Iceland","Liechtenstein",4,1,29,53,1415,911,3,4,24,504,1.55323819978046
"95",16936,"Switzerland","Finland",3,2,9,30,1606,1410,1,1.5,21,196,1.13900709219858
"96",16936,"Finland","Switzerland",2,3,30,9,1410,1606,-1,0.666666666666667,-21,-196,0.877957658779577
"97",16935,"Armenia","Romania",3,2,39,24,1273,1449,1,1.5,-15,-176,0.878536922015183
"98",16935,"Romania","Armenia",2,3,24,39,1449,1273,-1,0.666666666666667,15,176,1.13825608798115
"99",16934,"Sweden","Estonia",1,0,13,45,1569,1161,1,Inf,32,408,1.35142118863049
"100",16934,"Estonia","Sweden",0,1,45,13,1161,1569,-1,0,-32,-408,0.739961759082218
"101",16932,"Luxembourg","Portugal",1,3,41,4,1244,1666,-2,0.333333333333333,-37,-422,0.746698679471789
"102",16932,"Portugal","Luxembourg",3,1,4,41,1666,1244,2,3,37,422,1.33922829581994
"103",16931,"Belgium","Belarus",8,0,1,38,1783,1276,8,Inf,37,507,1.39733542319749
"104",16931,"Belarus","Belgium",0,8,38,1,1276,1783,-8,0,-37,-507,0.715647784632642
"105",16930,"Wales","Czech Republic",1,0,12,22,1570,1458,1,Inf,10,112,1.07681755829904
"106",16930,"Czech Republic","Wales",0,1,22,12,1458,1570,-1,0,-10,-112,0.928662420382166
"107",16929,"Turkey","Latvia",3,3,18,49,1505,1081,0,1,31,424,1.39222941720629
"108",16929,"Latvia","Turkey",3,3,49,18,1081,1505,0,1,-31,-424,0.718272425249169
"109",16928,"Montenegro","Norway",0,1,34,23,1368,1452,-1,0,-11,-84,0.942148760330578
"110",16928,"Norway","Montenegro",1,0,23,34,1452,1368,1,Inf,11,84,1.06140350877193
"111",16927,"Gibraltar","Netherlands",0,7,54,11,880,1598,-7,0,-43,-718,0.550688360450563
"112",16927,"Netherlands","Gibraltar",7,0,11,54,1598,880,7,Inf,43,718,1.81590909090909
"113",16926,"Croatia","Malta",3,0,10,51,1605,955,3,Inf,41,650,1.68062827225131
"114",16926,"Malta","Croatia",0,3,51,10,955,1605,-3,0,-41,-650,0.595015576323987
"115",16925,"Slovakia","Russia",2,1,19,21,1475,1462,1,2,2,13,1.00889192886457
"116",16925,"Russia","Slovakia",1,2,21,19,1462,1475,-1,0.5,-2,-13,0.991186440677966
"117",16924,"Cyprus","Slovenia",1,0,42,33,1240,1369,1,Inf,-9,-129,0.905770635500365
"118",16924,"Slovenia","Cyprus",0,1,33,42,1369,1240,-1,0,9,129,1.10403225806452
"119",16923,"Azerbaijan","Serbia",1,2,43,17,1168,1512,-1,0.5,-26,-344,0.772486772486772
"120",16923,"Serbia","Azerbaijan",2,1,17,43,1512,1168,1,2,26,344,1.29452054794521
"121",16922,"Bulgaria","Italy",0,2,36,6,1339,1642,-2,0,-30,-303,0.815468940316687
"122",16922,"Italy","Bulgaria",2,0,6,36,1642,1339,2,Inf,30,303,1.22628827483196
"123",16921,"Ukraine","Finland",1,1,16,30,1514,1410,0,1,14,104,1.07375886524823
"124",16921,"Finland","Ukraine",1,1,30,16,1410,1514,0,1,-14,-104,0.931307793923382
"125",16920,"Israel","Scotland",1,1,37,25,1283,1441,0,1,-12,-158,0.890353920888272
"126",16920,"Scotland","Israel",1,1,25,37,1441,1283,0,1,12,158,1.12314886983632
"127",16919,"Austria","Faroe Islands",3,1,15,44,1523,1165,2,3,29,358,1.30729613733906
"128",16919,"Faroe Islands","Austria",1,3,44,15,1165,1523,-2,0.333333333333333,-29,-358,0.764937623112278
"129",16918,"Romania","Germany",0,1,24,8,1449,1609,-1,0,-16,-160,0.900559353635799
"130",16918,"Germany","Romania",1,0,8,24,1609,1449,1,Inf,16,160,1.1104209799862
"131",16917,"Kosovo","Sweden",0,3,46,13,1151,1569,-3,0,-33,-418,0.733588272785214
"132",16917,"Sweden","Kosovo",3,0,13,46,1569,1151,3,Inf,33,418,1.36316246741964
"133",16916,"Switzerland","Lithuania",1,0,9,48,1606,1102,1,Inf,39,504,1.4573502722323
"134",16916,"Lithuania","Switzerland",0,1,48,9,1102,1606,-1,0,-39,-504,0.686176836861768
"135",16915,"Poland","Andorra",3,0,14,50,1549,1034,3,Inf,36,515,1.49806576402321
"136",16915,"Andorra","Poland",0,3,50,14,1034,1549,-3,0,-36,-515,0.667527437056165
"137",16914,"San Marino","Hungary",0,3,55,20,804,1468,-3,0,-35,-664,0.547683923705722
"138",16914,"Hungary","San Marino",3,0,20,55,1468,804,3,Inf,35,664,1.82587064676617
"139",16913,"North Macedonia","Liechtenstein",5,0,32,53,1374,911,5,Inf,21,463,1.50823271130626
"140",16913,"Liechtenstein","North Macedonia",0,5,53,32,911,1374,-5,0,-21,-463,0.663027656477438
"141",16911,"Georgia","Spain",1,2,40,5,1259,1648,-1,0.5,-35,-389,0.763956310679612
"142",16911,"Spain","Georgia",2,1,5,40,1648,1259,1,2,35,389,1.30897537728356
"143",16910,"Denmark","Moldova",8,0,7,52,1631,948,8,Inf,45,683,1.7204641350211
"144",16910,"Moldova","Denmark",0,8,52,7,948,1631,-8,0,-45,-683,0.581238503985285
"145",16909,"Albania","England",0,2,35,3,1362,1686,-2,0,-32,-324,0.807829181494662
"146",16909,"England","Albania",2,0,3,35,1686,1362,2,Inf,32,324,1.23788546255507
"147",16908,"Armenia","Iceland",2,0,39,29,1273,1415,2,Inf,-10,-142,0.899646643109541
"148",16908,"Iceland","Armenia",0,2,29,39,1415,1273,-2,0,10,142,1.11154752553024
"149",16906,"Kazakhstan","France",0,2,47,2,1147,1757,-2,0,-45,-610,0.652817302219693
"150",16906,"France","Kazakhstan",2,0,2,47,1757,1147,2,Inf,45,610,1.53182214472537
"151",16904,"Serbia","Portugal",2,2,17,4,1512,1666,0,1,-13,-154,0.907563025210084
