,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16915,Poland,Andorra,3,0,28 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16914,San Marino,Hungary,0,3,28 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16913,North Macedonia,Liechtenstein,5,0,28 Mar 2021,"2022 FIFA World Cup Qualification, Group J"
0,16912,Northern Ireland,United States,1,2,28 Mar 2021,Friendly International
0,16911,Georgia,Spain,1,2,28 Mar 2021,"2022 FIFA World Cup Qualification, Group B"
0,16910,Denmark,Moldova,8,0,28 Mar 2021,"2022 FIFA World Cup Qualification, Group F"
0,16909,Albania,England,0,2,28 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16908,Armenia,Iceland,2,0,28 Mar 2021,"2022 FIFA World Cup Qualification, Group J"
0,16907,Greece,Honduras,2,1,28 Mar 2021,Friendly International
0,16906,Kazakhstan,France,0,2,28 Mar 2021,"2022 FIFA World Cup Qualification, Group D"
0,16905,Wales,Mexico,1,0,27 Mar 2021,Friendly International
0,16904,Serbia,Portugal,2,2,27 Mar 2021,"2022 FIFA World Cup Qualification, Group A"
0,16903,Rep. of Ireland,Luxembourg,0,1,27 Mar 2021,"2022 FIFA World Cup Qualification, Group A"
0,16902,Czech Republic,Belgium,1,1,27 Mar 2021,"2022 FIFA World Cup Qualification, Group E"
0,16901,Slovakia,Malta,2,2,27 Mar 2021,"2022 FIFA World Cup Qualification, Group H"
0,16900,Belarus,Estonia,4,2,27 Mar 2021,"2022 FIFA World Cup Qualification, Group E"
0,16899,Netherlands,Latvia,2,0,27 Mar 2021,"2022 FIFA World Cup Qualification, Group G"
0,16898,Norway,Turkey,0,3,27 Mar 2021,"2022 FIFA World Cup Qualification, Group G"
0,16897,Croatia,Cyprus,1,0,27 Mar 2021,"2022 FIFA World Cup Qualification, Group H"
0,16896,Qatar,Azerbaijan,2,1,27 Mar 2021,Friendly International
0,16895,Bosnia & Herzegovina,Costa Rica,0,0,27 Mar 2021,Friendly International
0,16894,Montenegro,Gibraltar,4,1,27 Mar 2021,"2022 FIFA World Cup Qualification, Group G"
0,16893,Russia,Slovenia,2,1,27 Mar 2021,"2022 FIFA World Cup Qualification, Group H"
0,16892,Sweden,Georgia,1,0,25 Mar 2021,"2022 FIFA World Cup Qualification, Group B"
0,16891,Spain,Greece,1,1,25 Mar 2021,"2022 FIFA World Cup Qualification, Group B"
0,16890,Italy,Northern Ireland,2,0,25 Mar 2021,"2022 FIFA World Cup Qualification, Group C"
0,16889,Scotland,Austria,2,2,25 Mar 2021,"2022 FIFA World Cup Qualification, Group F"
0,16888,England,San Marino,5,0,25 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16887,Germany,Iceland,3,0,25 Mar 2021,"2022 FIFA World Cup Qualification, Group J"
0,16886,Moldova,Faroe Islands,1,1,25 Mar 2021,"2022 FIFA World Cup Qualification, Group F"
0,16885,Andorra,Albania,0,1,25 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16884,Hungary,Poland,3,3,25 Mar 2021,"2022 FIFA World Cup Qualification, Group I"
0,16883,Romania,North Macedonia,3,2,25 Mar 2021,"2022 FIFA World Cup Qualification, Group J"
